pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"XBTIDR",1684056791369,"397999000.00000000","398000000.00000000","398000000.00000000","1.35934000","ACTIVE",1684056791369
"XBTIDR",1684057159587,"397999000.00000000","398000000.00000000","398000000.00000000","1.35934000","ACTIVE",1684057159587
"XBTIDR",1684057334411,"397999000.00000000","398000000.00000000","398000000.00000000","1.35934000","ACTIVE",1684057334411
"XBTIDR",1684057576180,"397999000.00000000","398000000.00000000","398000000.00000000","1.35934000","ACTIVE",1684057576180
"XBTIDR",1684058555733,"397999000.00000000","398000000.00000000","398000000.00000000","1.35934000","ACTIVE",1684058555733
"XBTIDR",1684059890918,"397999000.00000000","398000000.00000000","398000000.00000000","0.91636400","ACTIVE",1684059890918
"XBTIDR",1684060913751,"397999000.00000000","398000000.00000000","398000000.00000000","0.37264300","ACTIVE",1684060913751
"XBTIDR",1684062140212,"397999000.00000000","398000000.00000000","398000000.00000000","0.35215400","ACTIVE",1684062140212
"XBTIDR",1684063323164,"397999000.00000000","398000000.00000000","398000000.00000000","0.32670800","ACTIVE",1684063323164
"XBTIDR",1684064545553,"397999000.00000000","398000000.00000000","398000000.00000000","0.32670800","ACTIVE",1684064545553
"XBTIDR",1684065768907,"397999000.00000000","398000000.00000000","398000000.00000000","0.32420500","ACTIVE",1684065768907
"XBTIDR",1684067352270,"397999000.00000000","398000000.00000000","398000000.00000000","0.32363500","ACTIVE",1684067352270
"XBTIDR",1684068379243,"397999000.00000000","398000000.00000000","398000000.00000000","0.30949000","ACTIVE",1684068379243
"XBTIDR",1684069355770,"397999000.00000000","398000000.00000000","397999000.00000000","0.29844800","ACTIVE",1684069355770
"XBTIDR",1684070593192,"397999000.00000000","398000000.00000000","397999000.00000000","0.29844800","ACTIVE",1684070593192
"XBTIDR",1684071726007,"397999000.00000000","398000000.00000000","397999000.00000000","0.30493700","ACTIVE",1684071726007
"XBTIDR",1684072973850,"397999000.00000000","398000000.00000000","398000000.00000000","0.30678600","ACTIVE",1684072973850
"XBTIDR",1684074194561,"397999000.00000000","398000000.00000000","398000000.00000000","0.31479200","ACTIVE",1684074194561
"XBTIDR",1684075321899,"397999000.00000000","398000000.00000000","398000000.00000000","0.30742000","ACTIVE",1684075321899
"XBTIDR",1684076542894,"397999000.00000000","398000000.00000000","398000000.00000000","0.30742000","ACTIVE",1684076542894
"XBTIDR",1684077769624,"401985000.00000000","401986000.00000000","401986000.00000000","0.36142700","ACTIVE",1684077769624
"XBTIDR",1684078935053,"401500000.00000000","401501000.00000000","401985000.00000000","0.38855300","ACTIVE",1684078935053
"XBTIDR",1684080180778,"401500000.00000000","401501000.00000000","401501000.00000000","0.39042000","ACTIVE",1684080180778
"XBTIDR",1684081566768,"401500000.00000000","401501000.00000000","401501000.00000000","0.40212600","ACTIVE",1684081566768
"XBTIDR",1684082544032,"401500000.00000000","401501000.00000000","401501000.00000000","0.40212600","ACTIVE",1684082544032
"XBTIDR",1684083738743,"401500000.00000000","401501000.00000000","401501000.00000000","0.40137400","ACTIVE",1684083738743
"XBTIDR",1684084981454,"401499000.00000000","401500000.00000000","401499000.00000000","0.40837400","ACTIVE",1684084981454
"XBTIDR",1684086128048,"401499000.00000000","401500000.00000000","401499000.00000000","0.40837400","ACTIVE",1684086128048
"XBTIDR",1684087397330,"401499000.00000000","401500000.00000000","401499000.00000000","0.40837400","ACTIVE",1684087397330
