pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"ETHEUR",1684056789730,"1604.20000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684056789730
"ETHEUR",1684057158108,"1604.22000000","1719.96000000","1719.98000000","0.00310000","ACTIVE",1684057158108
"ETHEUR",1684057332537,"1604.41000000","1719.96000000","1719.98000000","0.00310000","ACTIVE",1684057332537
"ETHEUR",1684057574299,"1604.76000000","1719.96000000","1719.98000000","0.00310000","ACTIVE",1684057574299
"ETHEUR",1684058554273,"1600.67000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684058554273
"ETHEUR",1684059889475,"1601.03000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684059889475
"ETHEUR",1684060912633,"1600.87000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684060912633
"ETHEUR",1684062138717,"1601.41000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684062138717
"ETHEUR",1684063322073,"1603.02000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684063322073
"ETHEUR",1684064544085,"1604.91000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684064544085
"ETHEUR",1684065767243,"1605.80000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684065767243
"ETHEUR",1684067351173,"1608.02000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684067351173
"ETHEUR",1684068378151,"1609.05000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684068378151
"ETHEUR",1684069354662,"1610.07000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684069354662
"ETHEUR",1684070591760,"1601.05000000","1719.97000000","1719.98000000","0.00310000","ACTIVE",1684070591760
"ETHEUR",1684071724397,"1602.59000000","1719.98000000","1719.98000000","0.00310000","ACTIVE",1684071724397
"ETHEUR",1684072972378,"1603.79000000","1719.98000000","1719.98000000","0.00310000","ACTIVE",1684072972378
"ETHEUR",1684074193425,"1604.13000000","1719.98000000","1719.98000000","0.00000000","ACTIVE",1684074193425
"ETHEUR",1684075320776,"1605.82000000","1719.49000000","1719.98000000","0.00000000","ACTIVE",1684075320776
"ETHEUR",1684076541798,"1600.52000000","1715.58000000","1719.98000000","0.00000000","ACTIVE",1684076541798
"ETHEUR",1684077768491,"1603.74000000","1716.44000000","1719.98000000","0.00000000","ACTIVE",1684077768491
"ETHEUR",1684078933604,"1602.75000000","1711.33000000","1719.98000000","0.00000000","ACTIVE",1684078933604
"ETHEUR",1684080178915,"1606.76000000","1705.94000000","1719.98000000","0.00000000","ACTIVE",1684080178915
"ETHEUR",1684081565657,"1609.83000000","1702.44000000","1719.98000000","0.00000000","ACTIVE",1684081565657
