pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"XBTNGN",1684056791823,"20000040.00000000","20044000.00000000","20000040.00000000","16.80769500","ACTIVE",1684056791823
"XBTNGN",1684057160025,"20000040.00000000","20051856.00000000","20051853.00000000","16.83428900","ACTIVE",1684057160025
"XBTNGN",1684057334914,"20018048.00000000","20068945.00000000","20018065.00000000","17.36663200","ACTIVE",1684057334914
"XBTNGN",1684057576690,"20017848.00000000","20067914.00000000","20017833.00000000","17.34440400","ACTIVE",1684057576690
"XBTNGN",1684058556157,"20017811.00000000","20017812.00000000","20017811.00000000","17.33505400","ACTIVE",1684058556157
"XBTNGN",1684059891349,"20029999.00000000","20049991.00000000","20049999.00000000","17.07871400","ACTIVE",1684059891349
"XBTNGN",1684060914111,"20029999.00000000","20039998.00000000","20029999.00000000","17.00554800","ACTIVE",1684060914111
"XBTNGN",1684062140644,"20000001.00000000","20032499.00000000","20000000.00000000","16.92046500","ACTIVE",1684062140644
"XBTNGN",1684063323535,"19980029.00000000","20029989.00000000","19992521.00000000","16.80942500","ACTIVE",1684063323535
"XBTNGN",1684064545976,"19982001.00000000","20000000.00000000","20000000.00000000","16.82980700","ACTIVE",1684064545976
"XBTNGN",1684065769372,"19999999.00000000","20009986.00000000","20009998.00000000","16.57637600","ACTIVE",1684065769372
"XBTNGN",1684067352632,"19960200.00000000","19971907.00000000","19960200.00000000","16.19886100","ACTIVE",1684067352632
"XBTNGN",1684068379604,"19963404.00000000","20009996.00000000","19963400.00000000","16.09420000","ACTIVE",1684068379604
"XBTNGN",1684069356141,"20012420.00000000","20049946.00000000","20000001.00000000","16.19097700","ACTIVE",1684069356141
"XBTNGN",1684070593630,"20015258.00000000","20059999.00000000","20015258.00000000","16.36660100","ACTIVE",1684070593630
"XBTNGN",1684071726461,"20036072.00000000","20050000.00000000","20025231.00000000","15.98249500","ACTIVE",1684071726461
"XBTNGN",1684072974286,"20055644.00000000","20079988.00000000","20055644.00000000","15.85036300","ACTIVE",1684072974286
"XBTNGN",1684074194931,"20043049.00000000","20054765.00000000","20043048.00000000","15.49989900","ACTIVE",1684074194931
"XBTNGN",1684075322267,"20026000.00000000","20089821.00000000","20026002.00000000","15.42826500","ACTIVE",1684075322267
"XBTNGN",1684076543254,"20120098.00000000","20120099.00000000","20120098.00000000","15.38244400","ACTIVE",1684076543254
"XBTNGN",1684077770001,"20114992.00000000","20190000.00000000","20114992.00000000","16.21208100","ACTIVE",1684077770001
"XBTNGN",1684078935486,"20154664.00000000","20179999.00000000","20161001.00000000","16.17626600","ACTIVE",1684078935486
"XBTNGN",1684080181279,"20129931.00000000","20175000.00000000","20129931.00000000","16.11314600","ACTIVE",1684080181279
"XBTNGN",1684081567132,"20119959.00000000","20200476.00000000","20119959.00000000","15.76070300","ACTIVE",1684081567132
"XBTNGN",1684082544464,"20119929.00000000","20198856.00000000","20119929.00000000","15.64434000","ACTIVE",1684082544464
"XBTNGN",1684083739116,"20013000.00000000","20072124.00000000","20013000.00000000","15.45798500","ACTIVE",1684083739116
"XBTNGN",1684084981820,"19971007.00000000","20034710.00000000","19971007.00000000","15.46441000","ACTIVE",1684084981820
"XBTNGN",1684086128527,"19971410.00000000","20068956.00000000","19971410.00000000","15.48370400","ACTIVE",1684086128527
"XBTNGN",1684087397838,"19975544.00000000","20033988.00000000","20030000.00000000","15.46036500","ACTIVE",1684087397838
"XBTNGN",1684088682821,"19976959.00000000","20019984.00000000","19976960.00000000","15.46955900","ACTIVE",1684088682821
"XBTNGN",1684089734098,"20010000.00000000","20019991.00000000","20010000.00000000","15.56552000","ACTIVE",1684089734098
"XBTNGN",1684090958660,"19971401.00000000","19999999.00000000","19971401.00000000","15.08604400","ACTIVE",1684090958660
"XBTNGN",1684092139559,"19960199.00000000","19961199.00000000","19960199.00000000","14.60003500","ACTIVE",1684092139559
