pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"XBTNGN",1684056791823,"20000040.00000000","20044000.00000000","20000040.00000000","16.80769500","ACTIVE",1684056791823
"XBTNGN",1684057160025,"20000040.00000000","20051856.00000000","20051853.00000000","16.83428900","ACTIVE",1684057160025
"XBTNGN",1684057334914,"20018048.00000000","20068945.00000000","20018065.00000000","17.36663200","ACTIVE",1684057334914
"XBTNGN",1684057576690,"20017848.00000000","20067914.00000000","20017833.00000000","17.34440400","ACTIVE",1684057576690
"XBTNGN",1684058556157,"20017811.00000000","20017812.00000000","20017811.00000000","17.33505400","ACTIVE",1684058556157
"XBTNGN",1684059891349,"20029999.00000000","20049991.00000000","20049999.00000000","17.07871400","ACTIVE",1684059891349
"XBTNGN",1684060914111,"20029999.00000000","20039998.00000000","20029999.00000000","17.00554800","ACTIVE",1684060914111
"XBTNGN",1684062140644,"20000001.00000000","20032499.00000000","20000000.00000000","16.92046500","ACTIVE",1684062140644
"XBTNGN",1684063323535,"19980029.00000000","20029989.00000000","19992521.00000000","16.80942500","ACTIVE",1684063323535
"XBTNGN",1684064545976,"19982001.00000000","20000000.00000000","20000000.00000000","16.82980700","ACTIVE",1684064545976
"XBTNGN",1684065769372,"19999999.00000000","20009986.00000000","20009998.00000000","16.57637600","ACTIVE",1684065769372
"XBTNGN",1684067352632,"19960200.00000000","19971907.00000000","19960200.00000000","16.19886100","ACTIVE",1684067352632
"XBTNGN",1684068379604,"19963404.00000000","20009996.00000000","19963400.00000000","16.09420000","ACTIVE",1684068379604
"XBTNGN",1684069356141,"20012420.00000000","20049946.00000000","20000001.00000000","16.19097700","ACTIVE",1684069356141
