pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"XBTUGX",1684056791954,"106343000.00000000","107342000.00000000","107257000.00000000","0.02201000","ACTIVE",1684056791954
"XBTUGX",1684057160143,"105338000.00000000","107342000.00000000","106343000.00000000","0.02201000","ACTIVE",1684057160143
"XBTUGX",1684057335067,"107252000.00000000","107342000.00000000","106343000.00000000","0.02201000","ACTIVE",1684057335067
"XBTUGX",1684057576843,"107252000.00000000","107342000.00000000","106343000.00000000","0.02160900","ACTIVE",1684057576843
"XBTUGX",1684058556269,"107251000.00000000","107323000.00000000","107252000.00000000","0.02160900","ACTIVE",1684058556269
"XBTUGX",1684059891462,"106826000.00000000","107322000.00000000","107251000.00000000","0.02180900","ACTIVE",1684059891462
"XBTUGX",1684060914191,"106330000.00000000","107322000.00000000","106826000.00000000","0.02200900","ACTIVE",1684060914191
"XBTUGX",1684062140761,"106330000.00000000","107302000.00000000","107232000.00000000","0.02201000","ACTIVE",1684062140761
"XBTUGX",1684063323622,"105338000.00000000","107301000.00000000","106320000.00000000","0.02201000","ACTIVE",1684063323622
"XBTUGX",1684064546095,"104334000.00000000","107301000.00000000","105323000.00000000","0.02241000","ACTIVE",1684064546095
"XBTUGX",1684065769507,"107211000.00000000","107273000.00000000","105323000.00000000","0.02260900","ACTIVE",1684065769507
"XBTUGX",1684067352713,"106785000.00000000","107272000.00000000","107211000.00000000","0.02240900","ACTIVE",1684067352713
"XBTUGX",1684068379684,"106298000.00000000","107272000.00000000","106785000.00000000","0.02281800","ACTIVE",1684068379684
"XBTUGX",1684069356224,"106298000.00000000","107252000.00000000","107182000.00000000","0.02221800","ACTIVE",1684069356224
"XBTUGX",1684070593740,"106287000.00000000","107251000.00000000","106298000.00000000","0.02260900","ACTIVE",1684070593740
"XBTUGX",1684071726590,"106769000.00000000","107251000.00000000","106769000.00000000","0.02260900","ACTIVE",1684071726590
"XBTUGX",1684072974402,"104334000.00000000","107232000.00000000","105323000.00000000","0.02180900","ACTIVE",1684072974402
"XBTUGX",1684074195017,"106506000.00000000","107230000.00000000","105323000.00000000","0.02240900","ACTIVE",1684074195017
"XBTUGX",1684075322353,"106506000.00000000","107230000.00000000","106868000.00000000","0.02260900","ACTIVE",1684075322353
"XBTUGX",1684076543335,"107140000.00000000","107212000.00000000","106868000.00000000","0.02300900","ACTIVE",1684076543335
"XBTUGX",1684077770087,"104334000.00000000","107212000.00000000","107122000.00000000","0.02380900","ACTIVE",1684077770087
"XBTUGX",1684078935597,"106252000.00000000","107211000.00000000","107122000.00000000","0.02400900","ACTIVE",1684078935597
"XBTUGX",1684080181431,"106252000.00000000","107191000.00000000","107121000.00000000","0.02420900","ACTIVE",1684080181431
"XBTUGX",1684081567219,"105293000.00000000","107191000.00000000","107101000.00000000","0.02237400","ACTIVE",1684081567219
"XBTUGX",1684082544576,"104334000.00000000","107191000.00000000","107101000.00000000","0.02277400","ACTIVE",1684082544576
"XBTUGX",1684083739201,"104334000.00000000","107173000.00000000","107101000.00000000","0.02317400","ACTIVE",1684083739201
"XBTUGX",1684084981907,"104334000.00000000","107173000.00000000","107083000.00000000","0.02330200","ACTIVE",1684084981907
"XBTUGX",1684086128662,"104334000.00000000","107173000.00000000","107083000.00000000","0.02370200","ACTIVE",1684086128662
"XBTUGX",1684087397992,"105250000.00000000","107083000.00000000","105250000.00000000","0.02410200","ACTIVE",1684087397992
"XBTUGX",1684088682934,"106625000.00000000","107083000.00000000","105250000.00000000","0.02337400","ACTIVE",1684088682934
"XBTUGX",1684089734214,"106625000.00000000","107083000.00000000","105250000.00000000","0.02317400","ACTIVE",1684089734214
"XBTUGX",1684090958748,"105250000.00000000","107120000.00000000","107083000.00000000","0.02297400","ACTIVE",1684090958748
"XBTUGX",1684092139712,"107030000.00000000","107120000.00000000","107030000.00000000","0.02377400","ACTIVE",1684092139712
"XBTUGX",1684093330112,"107030000.00000000","107120000.00000000","107030000.00000000","0.02417400","ACTIVE",1684093330112
"XBTUGX",1684094561032,"107030000.00000000","107097000.00000000","107030000.00000000","0.02266200","ACTIVE",1684094561032
"XBTUGX",1684095782711,"107030000.00000000","107097000.00000000","107030000.00000000","0.02266200","ACTIVE",1684095782711
"XBTUGX",1684096915566,"107007000.00000000","107097000.00000000","101320000.00000000","0.02881700","ACTIVE",1684096915566
"XBTUGX",1684098154747,"107007000.00000000","107097000.00000000","101320000.00000000","0.02881700","ACTIVE",1684098154747
"XBTUGX",1684099350199,"107007000.00000000","107097000.00000000","101320000.00000000","0.02841700","ACTIVE",1684099350199
"XBTUGX",1684100525728,"107007000.00000000","107097000.00000000","101320000.00000000","0.02801700","ACTIVE",1684100525728
"XBTUGX",1684101739457,"107007000.00000000","107097000.00000000","101320000.00000000","0.02761700","ACTIVE",1684101739457
"XBTUGX",1684103022520,"107007000.00000000","107097000.00000000","101320000.00000000","0.02761700","ACTIVE",1684103022520
"XBTUGX",1684104134331,"107007000.00000000","107097000.00000000","101320000.00000000","0.02721700","ACTIVE",1684104134331
"XBTUGX",1684105369196,"107007000.00000000","107097000.00000000","101320000.00000000","0.02681700","ACTIVE",1684105369196
"XBTUGX",1684106615854,"107007000.00000000","107097000.00000000","101320000.00000000","0.02581700","ACTIVE",1684106615854
"XBTUGX",1684107741773,"107007000.00000000","107097000.00000000","101320000.00000000","0.02581700","ACTIVE",1684107741773
"XBTUGX",1684109168760,"106812000.00000000","106963000.00000000","106873000.00000000","0.02601700","ACTIVE",1684109168760
"XBTUGX",1684110768671,"101320000.00000000","106857000.00000000","106812000.00000000","0.02581700","ACTIVE",1684110768671
"XBTUGX",1684112464581,"106700000.00000000","106856000.00000000","106766000.00000000","0.02621700","ACTIVE",1684112464581
"XBTUGX",1684114611137,"104390000.00000000","106839000.00000000","106749000.00000000","0.02681700","ACTIVE",1684114611137
"XBTUGX",1684116180526,"104390000.00000000","106821000.00000000","106749000.00000000","0.02741700","ACTIVE",1684116180526
"XBTUGX",1684117884327,"104390000.00000000","106821000.00000000","106731000.00000000","0.02721700","ACTIVE",1684117884327
"XBTUGX",1684118734916,"104390000.00000000","106821000.00000000","106731000.00000000","0.02741700","ACTIVE",1684118734916
"XBTUGX",1684119759938,"106731000.00000000","106803000.00000000","106731000.00000000","0.02761700","ACTIVE",1684119759938
"XBTUGX",1684121024360,"106731000.00000000","106803000.00000000","106731000.00000000","0.02761700","ACTIVE",1684121024360
"XBTUGX",1684122140286,"104390000.00000000","106803000.00000000","106713000.00000000","0.02798800","ACTIVE",1684122140286
"XBTUGX",1684123396480,"104390000.00000000","106803000.00000000","106713000.00000000","0.02841700","ACTIVE",1684123396480
"XBTUGX",1684124724881,"104390000.00000000","106785000.00000000","106695000.00000000","0.02841700","ACTIVE",1684124724881
"XBTUGX",1684125723388,"106695000.00000000","106785000.00000000","106695000.00000000","0.02720700","ACTIVE",1684125723388
"XBTUGX",1684126953315,"101320000.00000000","106767000.00000000","106695000.00000000","0.02760700","ACTIVE",1684126953315
"XBTUGX",1684128255687,"101500000.00000000","106767000.00000000","106677000.00000000","0.02800700","ACTIVE",1684128255687
"XBTUGX",1684129365178,"106677000.00000000","106767000.00000000","106677000.00000000","0.02820700","ACTIVE",1684129365178
"XBTUGX",1684130590523,"106677000.00000000","106749000.00000000","106677000.00000000","0.02780700","ACTIVE",1684130590523
"XBTUGX",1684132945881,"106659000.00000000","106749000.00000000","106659000.00000000","0.02760700","ACTIVE",1684132945881
