pair,client_timestamp,ask,bid,last,volume,vwap_today,num_trades_today,low_today,high_today
LTCUSD,1683807318354,81.37,81.36,81.41,11665.57373146,80.30366,1955,79.26,81.5
LTCUSD,1683807335128,81.37,81.36,81.41,11667.90846053,80.30387,1959,79.26,81.5
LTCUSD,1683807388553,81.37,81.36,81.41,11667.90846053,80.30387,1959,79.26,81.5
LTCUSD,1683807404002,81.43,81.38,81.41,11667.90846053,80.30387,1959,79.26,81.5
LTCUSD,1683807552147,81.4,81.37,81.45,11709.78531332,80.30798,1966,79.26,81.6
LTCUSD,1683807589254,81.42,81.41,81.45,11709.78531332,80.30798,1966,79.26,81.6
LTCUSD,1683807654887,81.56,81.53,81.43,11711.34200151,80.30813,1967,79.26,81.6
LTCUSD,1683807680866,81.52,81.51,81.43,11711.34200151,80.30813,1967,79.26,81.6
LTCUSD,1683807832473,81.42,81.41,81.42,11732.18993552,80.3102,1972,79.26,81.6
LTCUSD,1683812557498,81.88,81.82,81.84,12440.82037204,80.36562,2255,79.26,81.96
LTCUSD,1683812589574,81.92,81.91,81.91,12450.91509926,80.36687,2257,79.26,81.96
LTCUSD,1683817079988,80.34,80.31,80.27,19858.35760871,80.62617,2835,79.26,81.96
LTCUSD,1683817190776,80.3,80.29,80.27,19858.35760871,80.62617,2835,79.26,81.96
LTCUSD,1683818406312,81.09,81.06,81.09,21022.58798545,80.63706,3034,79.26,81.96
LTCUSD,1683819623661,80.96,80.95,80.96,21170.0412222,80.64124,3112,79.26,81.96
LTCUSD,1683820950269,80.74,80.71,80.74,21281.6854838,80.64269,3178,79.26,81.96
LTCUSD,1683822168278,81.04,81.01,80.8,21355.04463938,80.64376,3211,79.26,81.96
LTCUSD,1683823384438,80.77,80.76,80.77,21513.79625646,80.64381,3261,79.26,81.96
LTCUSD,1683824604955,80.35,80.33,80.34,21641.3340406,80.64451,3323,79.26,81.96
LTCUSD,1683825819408,79.16,79.14,79.19,22297.80397496,80.61187,3554,78.79,81.96
LTCUSD,1683827033888,79.16,79.14,79.23,24613.34819659,80.45103,3889,78.45,81.96
LTCUSD,1683828252213,79.11,79.08,79.11,24823.04262226,80.4399,3961,78.45,81.96
LTCUSD,1683829467159,79.11,79.1,79.1,25492.09902818,80.40424,4062,78.45,81.96
LTCUSD,1683830687600,79.44,79.43,79.41,25861.66769626,80.38606,4139,78.45,81.96
LTCUSD,1683831913322,79.48,79.47,79.49,25953.57445154,80.38304,4191,78.45,81.96
LTCUSD,1683833139576,79.5,79.49,79.5,29065.16341339,80.31649,4333,78.45,81.96
LTCUSD,1683834357048,79.07,79.06,79.05,29310.27886994,80.30752,4406,78.45,81.96
LTCUSD,1683835575131,79.21,79.2,79.23,29535.6334644,80.29756,4469,78.45,81.96
LTCUSD,1683836791679,79.3,79.28,79.25,29607.87637347,80.29521,4525,78.45,81.96
LTCUSD,1683838005175,79.72,79.7,79.69,32309.5544705,80.22161,4659,78.45,81.96
LTCUSD,1683839220327,80.36,80.35,80.39,32461.13974805,80.22108,4701,78.45,81.96
LTCUSD,1683840435482,80.14,80.12,80.14,32567.87944693,80.2211,4752,78.45,81.96
LTCUSD,1683841679866,79.93,79.92,79.93,32798.8511549,80.22003,4792,78.45,81.96
LTCUSD,1683842898105,80.3,80.28,80.3,32875.91701654,80.21977,4835,78.45,81.96
LTCUSD,1683844112100,80.36,80.35,80.42,32896.13936555,80.21983,4856,78.45,81.96
LTCUSD,1683845326608,80.33,80.29,80.32,34045.09623179,80.21653,4916,78.45,81.96
LTCUSD,1683846543366,80.1,80.06,80.1,34166.29255967,80.21674,4961,78.45,81.96
LTCUSD,1683847760969,80.37,80.36,80.33,34256.64662278,80.21685,5003,78.45,81.96
LTCUSD,1683848980603,81,80.99,80.99,34331.18007502,80.2182,5056,78.45,81.96
LTCUSD,1683850198306,81.15,81.14,81.15,54.60744356,81.09187,24,80.89,81.34
LTCUSD,1683851417910,80.58,80.57,80.66,144.7150518,80.88034,60,80.66,81.34
LTCUSD,1683852636243,81.01,81,80.97,380.75941889,80.81116,111,80.48,81.34
LTCUSD,1683853853713,80.94,80.93,80.97,1069.87079283,80.97712,181,80.48,81.43
LTCUSD,1683855071058,80.42,80.4,80.44,1290.358724,80.95829,231,80.41,81.43
LTCUSD,1683856288685,80.45,80.44,80.43,1373.28158552,80.92744,285,80.33,81.43
LTCUSD,1683857504407,80.34,80.32,80.37,1743.64697851,80.79831,354,80.27,81.43
LTCUSD,1683858720477,79.89,79.84,79.9,1808.45182511,80.77671,402,79.87,81.43
LTCUSD,1683859938005,79.71,79.68,79.69,1905.29007996,80.71935,478,79.47,81.43
LTCUSD,1683861153534,78.65,78.63,78.75,2931.97487267,80.15107,642,78.64,81.43
LTCUSD,1683862406848,78.63,78.62,78.66,3414.52205701,79.91578,746,78.17,81.43
LTCUSD,1683863645201,78.34,78.33,78.33,3679.91034035,79.8076,814,78.17,81.43
LTCUSD,1683864862466,78.39,78.36,78.3,4342.26940188,79.52498,907,77.77,81.43
LTCUSD,1683866078223,78.59,78.58,78.54,6077.76369967,79.25452,1017,77.77,81.43
LTCUSD,1683867305015,79.19,79.17,79.28,6168.80968322,79.2479,1065,77.77,81.43
LTCUSD,1683868521718,79.06,79.04,79.05,6206.5983392,79.2473,1101,77.77,81.43
LTCUSD,1683869738090,79.01,79,79.12,6315.04150277,79.24176,1134,77.77,81.43
LTCUSD,1683870954687,78.44,78.4,78.36,7263.9898177,79.13455,1259,77.73,81.43
LTCUSD,1683871728635,78.34,78.33,78.33,7590.58572379,79.10445,1306,77.73,81.43
LTCUSD,1683872942531,78.19,78.18,78.19,7651.66527537,79.09682,1361,77.73,81.43
LTCUSD,1683874159877,78.69,78.66,78.66,7877.94482904,79.08113,1435,77.73,81.43
LTCUSD,1683875377152,79.03,79.02,79.02,8003.56288896,79.08026,1504,77.73,81.43
LTCUSD,1683876593307,79.03,79.02,79.02,8131.40590855,79.07871,1568,77.73,81.43
LTCUSD,1683877814426,79.06,79.05,79.06,8201.77579342,79.07798,1608,77.73,81.43
LTCUSD,1683879029160,79.25,79.24,79.24,8273.69883866,79.07884,1658,77.73,81.43
LTCUSD,1683880244659,78.95,78.94,79.02,8422.61493104,79.08003,1691,77.73,81.43
LTCUSD,1683881463001,78.88,78.87,78.88,8537.65399415,79.07762,1714,77.73,81.43
LTCUSD,1683882678628,79.09,79.08,79.07,14282.44527195,78.93217,1855,77.73,81.43
LTCUSD,1683883896483,79.08,79.07,79.02,14415.73209386,78.93327,1888,77.73,81.43
LTCUSD,1683885111740,79.17,79.15,79.17,14552.79743526,78.93441,1916,77.73,81.43
LTCUSD,1683886328296,79.32,79.31,79.28,14896.73363794,78.94355,1957,77.73,81.43
LTCUSD,1683887547884,79.34,79.33,79.32,14927.20096365,78.94443,1974,77.73,81.43
LTCUSD,1683888761540,79.4,79.39,79.46,14973.17098647,78.94583,2009,77.73,81.43
LTCUSD,1683889975936,79.3,79.28,79.31,15098.2702428,78.94901,2046,77.73,81.43
LTCUSD,1683891192596,78.99,78.97,79.09,15128.42286709,78.94945,2069,77.73,81.43
LTCUSD,1683892410334,79.19,79.17,79.18,15177.28227431,78.9499,2092,77.73,81.43
LTCUSD,1683893625903,79.24,79.22,79.22,15211.1333107,78.95018,2123,77.73,81.43
LTCUSD,1683894842034,79.36,79.33,79.3,15235.25937639,78.95054,2154,77.73,81.43
LTCUSD,1683896056376,79.32,79.31,79.32,15309.84451417,78.95274,2210,77.73,81.43
LTCUSD,1683897272367,79.13,79.11,79.14,15386.10017348,78.9544,2270,77.73,81.43
LTCUSD,1683900152767,78.92,78.88,78.92,16308.55060039,78.9571,2532,77.73,81.43
LTCUSD,1683900487092,78.86,78.84,78.78,16385.12665018,78.95632,2558,77.73,81.43
LTCUSD,1683900773487,79.06,79.05,79.05,16407.3990249,78.95634,2571,77.73,81.43
LTCUSD,1683901435028,79.1,79.06,79.08,16598.43986381,78.95924,2648,77.73,81.43
LTCUSD,1683902336427,78.92,78.91,78.93,16676.6958739,78.95938,2694,77.73,81.43
LTCUSD,1683902535647,78.92,78.91,78.93,16678.00669901,78.95938,2699,77.73,81.43
LTCUSD,1683902681943,78.88,78.87,78.88,16703.03632995,78.95929,2712,77.73,81.43
LTCUSD,1683903747957,78.52,78.5,78.46,17370.02836804,78.94561,2832,77.73,81.43
LTCUSD,1683905011671,78.51,78.5,78.43,17599.92558089,78.93944,2885,77.73,81.43
LTCUSD,1683906110909,78.53,78.52,78.54,17703.75261367,78.93641,2932,77.73,81.43
LTCUSD,1683907338417,78.32,78.3,78.3,18288.22657217,78.93179,3036,77.73,81.43
LTCUSD,1683908779581,78.75,78.74,78.78,18557.59458272,78.92619,3118,77.73,81.43
LTCUSD,1683909722808,78.55,78.54,78.54,18728.71629371,78.92398,3157,77.73,81.43
LTCUSD,1683910928532,78.76,78.75,78.76,18873.70674513,78.92152,3212,77.73,81.43
LTCUSD,1683912214398,78.97,78.95,79.03,19000.82636912,78.92041,3275,77.73,81.43
LTCUSD,1683913316681,78.96,78.93,79.01,19250.43174315,78.92113,3324,77.73,81.43
LTCUSD,1683914570411,78.92,78.9,78.92,19390.69429621,78.92139,3380,77.73,81.43
LTCUSD,1683915908077,78.94,78.92,78.94,19473.34192284,78.92161,3434,77.73,81.43
LTCUSD,1683916910227,78.91,78.88,78.86,19820.46592974,78.92108,3496,77.73,81.43
LTCUSD,1683918135684,78.73,78.72,78.71,19974.87528831,78.91994,3552,77.73,81.43
LTCUSD,1683919311835,78.55,78.54,78.55,20072.56783203,78.91873,3606,77.73,81.43
LTCUSD,1683920531886,78.3,78.27,78.16,27192.08387038,78.58803,4003,76.68,81.43
LTCUSD,1683921759497,79.17,79.13,79.13,28470.77000345,78.61478,4183,76.68,81.43
LTCUSD,1683922993628,79.6,79.59,79.65,28758.07958153,78.62385,4266,76.68,81.43
LTCUSD,1683924114651,79.48,79.47,79.48,28906.0846744,78.62894,4314,76.68,81.43
LTCUSD,1683925342625,79.92,79.89,79.92,29908.96570252,78.66464,4403,76.68,81.43
LTCUSD,1683926532190,80.39,80.35,80.42,30181.19546073,78.67611,4503,76.68,81.43
LTCUSD,1683927733304,80.2,80.18,80.2,30509.38524505,78.6941,4563,76.68,81.43
LTCUSD,1683928956241,80.39,80.37,80.36,30661.41405701,78.70152,4608,76.68,81.43
LTCUSD,1683930240692,80.32,80.31,80.32,30739.03929669,78.70577,4660,76.68,81.43
LTCUSD,1683931338865,80.28,80.27,80.28,30771.43455704,78.70745,4695,76.68,81.43
LTCUSD,1683932540545,80.19,80.18,80.18,30913.05288773,78.714,4735,76.68,81.43
LTCUSD,1683933754083,80.33,80.32,80.33,31095.58534469,78.72287,4778,76.68,81.43
LTCUSD,1683934910484,80.49,80.47,80.47,31234.21371921,78.73012,4831,76.68,81.43
