prev_close,open,bid,ask,client_timestamp,pair
0.9104,0.91,0.9146,0.9151,1683807665348,"USDEUR"
0.9104,0.91,0.9146,0.9151,1683807692706,"USDEUR"
0.9104,0.91,0.9146,0.9151,1683807844494,"USDEUR"
0.9104,0.91,0.9163,0.9168,1683812568572,"USDEUR"
0.9104,0.91,0.9163,0.9168,1683812601346,"USDEUR"
0.9104,0.91,0.9154,0.9159,1683817094002,"USDEUR"
0.9104,0.91,0.9157,0.9162,1683817203378,"USDEUR"
0.9104,0.91,0.9157,0.9162,1683818420259,"USDEUR"
0.9104,0.91,0.9163,0.9168,1683819744390,"USDEUR"
0.9104,0.91,0.9157,0.9162,1683820964181,"USDEUR"
0.9104,0.91,0.915,0.9155,1683822179574,"USDEUR"
0.9104,0.91,0.9149,0.9154,1683823398431,"USDEUR"
0.9104,0.91,0.9151,0.9156,1683824615961,"USDEUR"
0.9104,0.91,0.9157,0.9162,1683825830283,"USDEUR"
0.9104,0.91,0.9158,0.9163,1683827049067,"USDEUR"
0.9104,0.91,0.916,0.9165,1683828263844,"USDEUR"
0.9104,0.91,0.916,0.9165,1683829484161,"USDEUR"
0.9104,0.91,0.9158,0.9163,1683830707826,"USDEUR"
0.9104,0.91,0.9156,0.9161,1683831931190,"USDEUR"
0.9104,0.91,0.9156,0.9161,1683833153792,"USDEUR"
0.9104,0.91,0.9157,0.9162,1683834371827,"USDEUR"
0.9104,0.91,0.9159,0.9164,1683835587527,"USDEUR"
0.9104,0.91,0.9156,0.9161,1683836802173,"USDEUR"
0.9104,0.91,0.9159,0.9164,1683838016412,"USDEUR"
0.9104,0.91,0.9157,0.9162,1683839232459,"USDEUR"
0.9104,0.91,0.9157,0.9162,1683840476823,"USDEUR"
0.9104,0.91,0.9158,0.9163,1683841693303,"USDEUR"
0.9104,0.9158,0.9156,0.9161,1683842908936,"USDEUR"
0.9104,0.9158,0.9158,0.9163,1683844123633,"USDEUR"
0.9104,0.9158,0.9158,0.9163,1683845339477,"USDEUR"
0.9157,0.9158,0.9159,0.9164,1683846555154,"USDEUR"
0.9157,0.9158,0.9158,0.9163,1683847775950,"USDEUR"
0.9157,0.9158,0.916,0.9165,1683848994393,"USDEUR"
0.9157,0.9158,0.9159,0.9164,1683850212944,"USDEUR"
0.9157,0.9158,0.9157,0.9162,1683851432379,"USDEUR"
0.9157,0.9158,0.9156,0.9161,1683852648884,"USDEUR"
0.9157,0.9158,0.9155,0.916,1683853867190,"USDEUR"
0.9157,0.9158,0.9157,0.9162,1683855084666,"USDEUR"
0.9157,0.9158,0.9154,0.9159,1683856301429,"USDEUR"
0.9157,0.9158,0.9152,0.9157,1683857517370,"USDEUR"
0.9157,0.9158,0.9152,0.9157,1683858733119,"USDEUR"
0.9157,0.9158,0.9157,0.9162,1683859949567,"USDEUR"
0.9157,0.9158,0.9157,0.9162,1683861201769,"USDEUR"
0.9157,0.9158,0.9156,0.9161,1683862442278,"USDEUR"
0.9157,0.9158,0.9154,0.9159,1683863658751,"USDEUR"
0.9157,0.9158,0.9151,0.9156,1683864874658,"USDEUR"
0.9157,0.9158,0.9151,0.9156,1683866088579,"USDEUR"
0.9157,0.9158,0.915,0.9155,1683867317718,"USDEUR"
0.9157,0.9158,0.9152,0.9157,1683868534127,"USDEUR"
0.9157,0.9158,0.9148,0.9153,1683869749825,"USDEUR"
0.9157,0.9158,0.915,0.9155,1683870968334,"USDEUR"
0.9157,0.9158,0.9151,0.9156,1683871739259,"USDEUR"
0.9157,0.9158,0.9148,0.9153,1683872954709,"USDEUR"
0.9157,0.9158,0.9145,0.915,1683874173671,"USDEUR"
0.9157,0.9158,0.9147,0.9152,1683875388235,"USDEUR"
